city,country,temp,temp_max,temp_min
Saint-Trosse,FR,0.61,5.8,-0.96
city,country,temp,temp_max,temp_min
Arrondissement de Périgueux,FR,2.3,4.09,-2.17
city,country,temp,temp_max,temp_min
Arrondissement de La Tour-du-Pin,FR,-1.2,0.62,-2.61
city,country,temp,temp_max,temp_min
Four,FR,-1.16,1.21,-2.1
city,country,temp,temp_max,temp_min
Corent,FR,-2.37,-2.37,-2.37
city,country,temp,temp_max,temp_min
Upper Savoy,FR,-8.95,-7.21,-12.26
city,country,temp,temp_max,temp_min
Franche-Comté Region,FR,-0.74,0,-1.19
city,country,temp,temp_max,temp_min
Jura,FR,-2,0.1,-2.4
city,country,temp,temp_max,temp_min
Trouy,FR,1.35,2.46,0.64
city,country,temp,temp_max,temp_min
Trouy,FR,1.36,2.47,0.65
city,country,temp,temp_max,temp_min
Doubs,FR,-3.21,-1.35,-4.97
city,country,temp,temp_max,temp_min
Arrondissement de Pontarlier,FR,-5.07,-2.33,-6.91
city,country,temp,temp_max,temp_min
La Croix Verte,FR,4.12,4.47,2.16
city,country,temp,temp_max,temp_min
Ormenans,FR,-0.23,0.98,-0.94
city,country,temp,temp_max,temp_min
Brittany Region,FR,4.71,5.69,3.68
city,country,temp,temp_max,temp_min
Champagne-Ardenne Region,FR,4.72,5.49,3.78
city,country,temp,temp_max,temp_min
Île-de-France Region,FR,4.75,5.82,3.91
city,country,temp,temp_max,temp_min
Fontenailles,FR,4.55,5.6,3.69
city,country,temp,temp_max,temp_min
Audignicourt,FR,5.45,5.72,5.17
city,country,temp,temp_max,temp_min
Somme,FR,5.6,6.77,5.1
city,country,temp,temp_max,temp_min
Béthencourt-sur-Mer,FR,5.45,6.37,5.22
city,country,temp,temp_max,temp_min
L'Hospitalet-près-l'Andorre,FR,-4.53,-0.94,-9.66
city,country,temp,temp_max,temp_min
L'Allier,FR,3.25,4.53,2.34
city,country,temp,temp_max,temp_min
L'Eure,FR,5.7,6.47,5.31
city,country,temp,temp_max,temp_min
Saint-Girons,FR,2.91,2.91,-1.48
city,country,temp,temp_max,temp_min
Grenoble,FR,1.19,3.16,-0.74
city,country,temp,temp_max,temp_min
Serres-Castet,FR,1.55,2.75,0.9
city,country,temp,temp_max,temp_min
Mamers,FR,3.9,3.9,3.9
city,country,temp,temp_max,temp_min
Bar-sur-Aube,FR,2,3.79,1.96
city,country,temp,temp_max,temp_min
Anguilcourt-le-Sart,FR,5.75,6.22,5.38
city,country,temp,temp_max,temp_min
Yerres,FR,4.86,5.8,3.89
city,country,temp,temp_max,temp_min
Arrondissement de Mulhouse,FR,-0.55,0.3,-1.5
city,country,temp,temp_max,temp_min
Hésingue,FR,-0.37,1.17,-1.56
city,country,temp,temp_max,temp_min
Les Chenais,FR,4.77,5.12,3.91
city,country,temp,temp_max,temp_min
Arrondissement de Sarlat-la-Canéda,FR,1.37,3.64,-2.62
city,country,temp,temp_max,temp_min
Dhuizon,FR,3,4.09,2.25
city,country,temp,temp_max,temp_min
Dhuizon,FR,2.98,4.05,2.21
city,country,temp,temp_max,temp_min
Lot-et-Garonne,FR,1.01,7.54,-2.64
city,country,temp,temp_max,temp_min
Arrondissement d'Agen,FR,0.6,8.02,-1.09
city,country,temp,temp_max,temp_min
Pont-du-Casse,FR,1.47,8.02,-2.15
city,country,temp,temp_max,temp_min
Pont-du-Casse,FR,1.47,8.01,-2.17
city,country,temp,temp_max,temp_min
Rosny-sous-Bois,FR,5.09,5.9,3.99
city,country,temp,temp_max,temp_min
Grégny,FR,-1.8,4.41,-5.73
city,country,temp,temp_max,temp_min
Plérin,FR,5.31,7.32,4
city,country,temp,temp_max,temp_min
Arrondissement de Rambouillet,FR,4.02,4.8,3.34
city,country,temp,temp_max,temp_min
Saint-Germain-de-la-Grange,FR,4.45,5.52,3.72
city,country,temp,temp_max,temp_min
Allier,FR,-0.87,1.17,-1.34
city,country,temp,temp_max,temp_min
Pouillon,FR,4.61,10.05,-1.02
city,country,temp,temp_max,temp_min
Aiffres,FR,0.97,1.92,0.72
city,country,temp,temp_max,temp_min
Aiffres,FR,0.88,1.85,0.65
city,country,temp,temp_max,temp_min
Arrondissement de Dijon,FR,0.02,0.02,-0.14
city,country,temp,temp_max,temp_min
Marcilly-sur-Tille,FR,0.6,0.6,0.45
city,country,temp,temp_max,temp_min
Marcilly-sur-Tille,FR,0.58,0.58,0.42
city,country,temp,temp_max,temp_min
Montaigut-sur-Save,FR,3.87,7.33,2.81
city,country,temp,temp_max,temp_min
Allennes-les-Marais,FR,6.68,7.19,5.55
city,country,temp,temp_max,temp_min
Quiberon,FR,5.78,6.15,4.78
city,country,temp,temp_max,temp_min
Nexon,FR,0.16,0.45,-0.6
city,country,temp,temp_max,temp_min
